_id,session_id,user_id,task_id,session_start_time,session_end_time,__v
65fb3e71eddf897ea3091a8d,a27bf979-97ed-489d-8dcd-cd1dfb4fc0ab,4edf0ff5-b5aa-4957-9431-4fbf4cacaf6a,task1,2024-03-20 19:50:31,2024-03-20 19:52:17.481,0
65fb3f75eddf897ea3091a95,cc13e90f-8d51-4686-9580-8b18b56f7802,4edf0ff5-b5aa-4957-9431-4fbf4cacaf6a,task2,2024-03-20 19:55:35,2024-03-20 19:56:37.666,0
65fb3ffaeddf897ea3091a9d,02e846b3-55dc-4713-a2d8-f144295d2657,4edf0ff5-b5aa-4957-9431-4fbf4cacaf6a,task4,2024-03-20 19:57:42,2024-03-20 19:58:50.068,0
65fb404aeddf897ea3091aa5,f78d2301-5d15-4393-a778-d04276901baa,4edf0ff5-b5aa-4957-9431-4fbf4cacaf6a,task3,2024-03-20 19:59:26,2024-03-20 20:00:10.370,0
65fb541d72a34e612b78e6f3,26dcc03b-a604-4d6c-9c01-cc072cb18e31,e0711a26-c616-463c-9b05-f0afaf871f31,task2,2024-03-20 21:23:11,2024-03-20 21:24:45.194,0
65fb55c072a34e612b78e6ff,c028d42f-a486-4837-820b-09d11907e677,e0711a26-c616-463c-9b05-f0afaf871f31,task3,2024-03-20 21:28:19,2024-03-20 21:31:44.024,0
65fb587972a34e612b78e70b,70a21323-dfc8-4d81-ace2-c43dd72c6be9,e0711a26-c616-463c-9b05-f0afaf871f31,task1,2024-03-20 21:33:55,2024-03-20 21:43:21.668,0
65fb5a8172a34e612b78e71b,ab2010e6-bfb6-40a5-86af-c0fdd74c5979,e0711a26-c616-463c-9b05-f0afaf871f31,task4,2024-03-20 21:46:09,2024-03-20 21:52:01.200,0
65fbd58cbfa874c7f4238cd5,77b27376-0bc9-427f-97ac-a13a6974e6da,15c09788-9078-4e28-9ec0-91d634c5b9ca,task3,2024-03-21 06:31:45,2024-03-21 06:37:01.219,0
65fbd85bbfa874c7f4238ce3,c9c2a626-e7e3-4ac8-bfb9-33eef5cec0cd,15c09788-9078-4e28-9ec0-91d634c5b9ca,task4,2024-03-21 06:43:30,2024-03-21 06:48:59.243,0
65fbd9f9bfa874c7f4238cef,baf15b6d-a11d-4f5e-9f20-a9172965568a,15c09788-9078-4e28-9ec0-91d634c5b9ca,task2,2024-03-21 06:51:54,2024-03-21 06:55:53.086,0
65fbda85bfa874c7f4238cfb,249c1d74-8bec-4e93-8eb5-1e54dd463aed,15c09788-9078-4e28-9ec0-91d634c5b9ca,task1,2024-03-21 06:56:42,2024-03-21 06:58:13.700,0
65fbe424b5085a8eea447501,e3e1c5d4-40d5-4e64-8bba-c9cda4923738,34f7c191-ff70-407c-b818-49e35cbb068f,task4,2024-03-21 07:37:29,2024-03-21 07:39:16.488,0
65fbe4c5b5085a8eea44750b,0e4dc1a8-d695-4dc2-aa12-0e384fdfb65d,34f7c191-ff70-407c-b818-49e35cbb068f,task1,2024-03-21 07:41:07,2024-03-21 07:41:57.082,0
65fbe5b5b5085a8eea447519,bc9fc17b-7719-4ddd-8f62-b119e178f1fa,34f7c191-ff70-407c-b818-49e35cbb068f,task3,2024-03-21 07:43:43,2024-03-21 07:45:57.653,0
65fbe68ab5085a8eea447521,e46ed73b-23a6-4185-84ce-9e0a5f82c2e6,34f7c191-ff70-407c-b818-49e35cbb068f,task2,2024-03-21 07:48:40,2024-03-21 07:49:30.134,0
65fbecc155a41b477058a74b,d74dd6cf-dfff-4ab3-a496-7def3c44ae98,2fbf76df-1101-4ac6-b75b-f49df2266232,task1,2024-03-21 08:15:13,2024-03-21 08:16:00.595,0
65fbee6155a41b477058a755,f5792c62-e6b5-47d8-8777-3eabe57aac11,2fbf76df-1101-4ac6-b75b-f49df2266232,task2,2024-03-21 08:21:41,2024-03-21 08:22:57.281,0
65fbefd655a41b477058a764,2bcb89d9-78fb-4a54-b6a7-6f19cb7dc791,2fbf76df-1101-4ac6-b75b-f49df2266232,task4,2024-03-21 08:24:36,2024-03-21 08:29:09.668,0
65fbf01755a41b477058a768,f67f8cba-3650-4552-bf99-6384412581a1,fe53df51-c33e-4114-986c-c9efcca99259,task2,2024-03-21 08:26:15,2024-03-21 08:30:14.309,0
65fbf23155a41b477058a774,6bba4de7-877c-434b-b6a6-def508442b25,fe53df51-c33e-4114-986c-c9efcca99259,task3,2024-03-21 08:32:07,2024-03-21 08:39:12.515,0
65fbf32b55a41b477058a78a,a5cd2ab1-a390-4f15-b130-dc96e1f88186,2fbf76df-1101-4ac6-b75b-f49df2266232,task3,2024-03-21 08:39:39,2024-03-21 08:43:22.295,0
65fbf46f55a41b477058a794,46344b5b-4d61-4c2d-b681-4b61c7698dbb,fe53df51-c33e-4114-986c-c9efcca99259,task1,2024-03-21 08:41:54,2024-03-21 08:48:46.181,0
65fbf71155a41b477058a79c,6fa6d496-756a-4721-9b64-45b8c99de03f,fe53df51-c33e-4114-986c-c9efcca99259,task4,2024-03-21 08:52:48,2024-03-21 09:00:00.001,0
65fc01fc0b43e64c1851bdcd,15b8d2d6-3232-43d6-adcb-eef42ae7f8eb,525d6692-2c89-4871-b945-28f5d35a789b,task4,2024-03-21 09:44:50,2024-03-21 09:46:35.858,0
65fc02650b43e64c1851bdd5,79585f74-1396-4770-908a-52cfc15eb79c,525d6692-2c89-4871-b945-28f5d35a789b,task1,2024-03-21 09:47:55,2024-03-21 09:48:21.552,0
65fc030e0b43e64c1851bddd,0321bb40-7826-4ae6-9a0b-0aabc1ddd73a,525d6692-2c89-4871-b945-28f5d35a789b,task3,2024-03-21 09:50:59,2024-03-21 09:51:10.097,0
65fc03a80b43e64c1851bde5,1185862b-0795-42df-b50f-72bcd9a30f14,525d6692-2c89-4871-b945-28f5d35a789b,task2,2024-03-21 09:53:36,2024-03-21 09:53:43.998,0
65fc0e2ea7cb0f6660550c42,325ed10f-5e6d-4da8-adea-3bdfd78db34b,d235cab9-2a67-4667-8857-a51566cffaf7,task1,2024-03-21 10:36:19,2024-03-21 10:38:38.185,0
65fc0e4ca7cb0f6660550c4a,325ed10f-5e6d-4da8-adea-3bdfd78db34b,d235cab9-2a67-4667-8857-a51566cffaf7,task1,2024-03-21 10:36:19,2024-03-21 10:39:08.242,0
65fc0f15a7cb0f6660550c58,3b814de0-f166-400d-a7d5-3e783f577ef1,d235cab9-2a67-4667-8857-a51566cffaf7,task2,2024-03-21 10:40:47,2024-03-21 10:42:29.601,0
65fc0fa3a7cb0f6660550c66,00ca6fa9-091d-4d30-845f-53c8fb9897df,d235cab9-2a67-4667-8857-a51566cffaf7,task4,2024-03-21 10:43:49,2024-03-21 10:44:51.002,0
65fc10a1a7cb0f6660550c74,a734ed48-1506-4549-83ea-849d2f01630d,d235cab9-2a67-4667-8857-a51566cffaf7,task3,2024-03-21 10:47:32,2024-03-21 10:49:05.075,0
65fc26ce7c343b1278a82a13,1d394a57-590c-4f35-9a37-34ec1b5688ac,7c2b4159-df97-40a1-8376-23df2a4711ba,task2,2024-03-21 12:19:24,2024-03-21 12:23:41.499,0
65fc27f37c343b1278a82a23,b49e33d6-2cb5-45f2-801b-cf791c567a93,7c2b4159-df97-40a1-8376-23df2a4711ba,task3,2024-03-21 12:24:54,2024-03-21 12:28:34.894,0
65fc289d7c343b1278a82a2f,32df3647-2a4a-4f87-af6c-4b3900047fec,7c2b4159-df97-40a1-8376-23df2a4711ba,task1,2024-03-21 12:29:40,2024-03-21 12:31:24.778,0
65fc2c7c7c343b1278a82a3b,06ed5ae9-c290-48f2-acb3-1004528c1c49,7c2b4159-df97-40a1-8376-23df2a4711ba,task4,2024-03-21 12:32:08,2024-03-21 12:47:55.766,0
65fc39ab9794d7470f140993,5a577d2d-110b-4a4f-a6b7-2d4aeaa3cf5a,d80ef3e3-ebb7-40a5-9ce1-812e754809aa,task3,2024-03-21 13:29:22,2024-03-21 13:44:11.353,0
65fc3d0b9794d7470f14099b,e75ae1f0-b058-4516-bc56-5f1094e05d1d,d80ef3e3-ebb7-40a5-9ce1-812e754809aa,task4,2024-03-21 13:53:20,2024-03-21 13:58:35.470,0
65fc3fdd9794d7470f1409a7,7a0af744-1f59-4331-9a53-376048678915,d80ef3e3-ebb7-40a5-9ce1-812e754809aa,task2,2024-03-21 14:05:14,2024-03-21 14:10:37.346,0
65fc40d89794d7470f1409af,b1cf5548-15d3-481d-9a57-0417f01c9a66,d80ef3e3-ebb7-40a5-9ce1-812e754809aa,task1,2024-03-21 14:11:30,2024-03-21 14:14:48.804,0
65fc5482e39a158fac2806a1,38d7b272-f6b9-4459-86bc-d1accd5af63d,c5902c7b-a503-4f84-9636-0676d4234518,task4,2024-03-21 15:37:02,2024-03-21 15:38:41.671,0
65fc555be39a158fac2806ab,479c370f-48ba-4caf-9b80-318896576cb5,c5902c7b-a503-4f84-9636-0676d4234518,task1,2024-03-21 15:41:45,2024-03-21 15:42:19.203,0
65fc55d8e39a158fac2806b3,0debeafc-7787-47c5-a693-77234a77d33c,c5902c7b-a503-4f84-9636-0676d4234518,task3,2024-03-21 15:43:27,2024-03-21 15:44:23.396,0
65fc5638e39a158fac2806bb,efd22d80-5dd3-42ac-a165-05aca9bf0743,c5902c7b-a503-4f84-9636-0676d4234518,task2,2024-03-21 15:45:08,2024-03-21 15:45:59.603,0
65fd524a7d88869ed14fdc35,8b045794-a30d-46e7-84b4-1c63bd5ecaff,8331280f-4b3b-4285-8158-35a2fc40b5df,task2,2024-03-22 09:38:12,2024-03-22 09:41:30.751,0
65fd531e7d88869ed14fdc41,f6ac68fe-13f6-458f-b4a6-077f1768ffac,8331280f-4b3b-4285-8158-35a2fc40b5df,task3,2024-03-22 09:42:38,2024-03-22 09:45:01.984,0
65fd53a37d88869ed14fdc45,f6ac68fe-13f6-458f-b4a6-077f1768ffac,8331280f-4b3b-4285-8158-35a2fc40b5df,task3,2024-03-22 09:42:38,2024-03-22 09:47:15.443,0
65fd54507d88869ed14fdc51,e58dc328-5d9e-45b1-8698-efcc8edb1ae1,8331280f-4b3b-4285-8158-35a2fc40b5df,task1,2024-03-22 09:48:34,2024-03-22 09:50:08.043,0
65fd55247d88869ed14fdc5b,af5d9617-6901-4bf2-908c-e0b3466ff686,8331280f-4b3b-4285-8158-35a2fc40b5df,task4,2024-03-22 09:51:56,2024-03-22 09:53:39.858,0
65fd55e97d88869ed14fdc6b,b9dbb5a3-6895-45f7-87ca-f29bdc2808e9,688dc852-0a3a-4a45-a330-da102bc628ef,task1,2024-03-22 09:55:07,2024-03-22 09:56:57.402,0
65fd567c7d88869ed14fdc73,dd3d9e38-e278-4b7e-b36e-51d29b357528,688dc852-0a3a-4a45-a330-da102bc628ef,task2,2024-03-22 09:58:51,2024-03-22 09:59:24.086,0
65fd56ae7d88869ed14fdc7b,bd3481b3-d0cf-45b7-ab53-49cdd7c9b7a5,688dc852-0a3a-4a45-a330-da102bc628ef,task4,2024-03-22 09:59:53,2024-03-22 10:00:14.148,0
65fd573a7d88869ed14fdc83,03525390-8e6c-4231-9b98-b2273fd107f4,688dc852-0a3a-4a45-a330-da102bc628ef,task3,2024-03-22 10:01:48,2024-03-22 10:02:34.343,0
65fd5d72d4a80ca04989be96,dc084051-8466-49cd-acfe-6cb812870f8f,83dc2ca4-3ff9-4ee4-9aa0-c27b994a4e07,task3,2024-03-22 10:28:04,2024-03-22 10:29:07.052,0
65fd5e52d4a80ca04989bea0,285840b7-f3f1-43c9-9da2-e5ac1bdbcfa6,83dc2ca4-3ff9-4ee4-9aa0-c27b994a4e07,task4,2024-03-22 10:30:45,2024-03-22 10:32:51.811,0
65fd5eb3d4a80ca04989bea4,285840b7-f3f1-43c9-9da2-e5ac1bdbcfa6,83dc2ca4-3ff9-4ee4-9aa0-c27b994a4e07,task4,2024-03-22 10:30:45,2024-03-22 10:34:28.854,0
65fd5f35d4a80ca04989beae,0cb04c0e-8429-4df8-b081-da29ba66b05e,83dc2ca4-3ff9-4ee4-9aa0-c27b994a4e07,task2,2024-03-22 10:35:56,2024-03-22 10:36:38.380,0
65fd5fb9d4a80ca04989beb6,84fe034f-4d80-4dd1-9021-764cc63088ec,83dc2ca4-3ff9-4ee4-9aa0-c27b994a4e07,task1,2024-03-22 10:37:18,2024-03-22 10:38:50.012,0
65fef88c8808b5e176f86250,718ebf07-2849-42f3-bfd0-f66bae677e39,9ce6999c-15de-45d1-a192-52b826bb7129,task4,2024-03-23 15:41:36,2024-03-23 15:43:08.797,0
65fef8d58808b5e176f8625a,29cd3b97-3c30-4644-a1e1-41e5d7afed7b,b1622f74-6811-4815-9cd7-fb0e5fc11ec6,task1,2024-03-23 15:41:32,2024-03-23 15:44:20.934,0
65fef9168808b5e176f86260,718ebf07-2849-42f3-bfd0-f66bae677e39,9ce6999c-15de-45d1-a192-52b826bb7129,task4,2024-03-23 15:41:36,2024-03-23 15:45:26.712,0
65fef9e18808b5e176f8626e,11fd19d4-e4f2-4319-9c9e-4e3308c00b2c,b1622f74-6811-4815-9cd7-fb0e5fc11ec6,task2,2024-03-23 15:47:48,2024-03-23 15:48:49.434,0
65fefa6b8808b5e176f8627e,c9f462fc-7818-43c1-b73c-3f72b516061e,9ce6999c-15de-45d1-a192-52b826bb7129,task1,2024-03-23 15:48:56,2024-03-23 15:51:07.260,0
65fefa818808b5e176f86282,a8c93559-de59-44c6-8958-2459076149ca,b1622f74-6811-4815-9cd7-fb0e5fc11ec6,task4,2024-03-23 15:49:32,2024-03-23 15:51:29.726,0
65fefb388808b5e176f86290,ec1c1412-f3ea-4eff-8277-dd5c7203fcbe,9ce6999c-15de-45d1-a192-52b826bb7129,task3,2024-03-23 15:54:11,2024-03-23 15:54:32.570,0
65fefb6e8808b5e176f86294,5ad7cd70-4639-40fd-9fc1-e0cbdf5b56d3,b1622f74-6811-4815-9cd7-fb0e5fc11ec6,task3,2024-03-23 15:54:13,2024-03-23 15:55:25.998,0
65fefbf88808b5e176f862a4,5671cdee-1075-469b-8b92-89cbd7af72a1,9ce6999c-15de-45d1-a192-52b826bb7129,task2,2024-03-23 15:56:45,2024-03-23 15:57:44.715,0
65fffa1cc88a726268bec2ba,44a6f91c-ea2d-4ce8-982b-edfb4be4a74f,8e9abc21-7629-498f-a17f-8775ef5f0387,task1,2024-03-24 09:59:35,2024-03-24 10:02:03.909,0
65fffae8c88a726268bec2c2,b9fa1167-5c91-4e1b-af83-fc04728def63,8e9abc21-7629-498f-a17f-8775ef5f0387,task2,2024-03-24 10:04:29,2024-03-24 10:05:27.402,0
65fffb87c88a726268bec2ca,9048d519-5e00-4eca-bbd7-c49990fe9661,8e9abc21-7629-498f-a17f-8775ef5f0387,task4,2024-03-24 10:06:18,2024-03-24 10:08:06.980,0
65fffcb8c88a726268bec2d2,23ddc93a-b8fc-4d2e-961e-a37625ab2de5,8e9abc21-7629-498f-a17f-8775ef5f0387,task3,2024-03-24 10:11:42,2024-03-24 10:13:04.225,0
65fffcb8c88a726268bec2d4,23ddc93a-b8fc-4d2e-961e-a37625ab2de5,8e9abc21-7629-498f-a17f-8775ef5f0387,task3,2024-03-24 10:11:42,2024-03-24 10:13:11.091,0
66000222e6ccc62f82a3227f,21aa356a-3a1c-43fd-8bcf-04f5027deb60,b317fef8-c92f-4535-bd04-c19a522b55cb,task2,2024-03-24 10:31:46,2024-03-24 10:36:17.666,0
66000589e6ccc62f82a3228d,1c4c4288-1bea-43c9-89f8-0372b5842ba0,b317fef8-c92f-4535-bd04-c19a522b55cb,task3,2024-03-24 10:41:43,2024-03-24 10:50:48.075,0
660006fee6ccc62f82a32297,b6145f17-502b-4c05-aa19-4a8d5ec1b841,b317fef8-c92f-4535-bd04-c19a522b55cb,task1,2024-03-24 10:53:35,2024-03-24 10:57:01.597,0
66000831e6ccc62f82a322a1,7a54c49b-54a7-471d-9016-b1a725a79116,b317fef8-c92f-4535-bd04-c19a522b55cb,task4,2024-03-24 10:59:51,2024-03-24 11:02:08.600,0
